rs_id;elapsed;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;motion_sum_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;pos_valid_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;vel_valid_insect;svelX_insect;svelY_insect;svelZ_insect;acc_valid_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;fp;hunt_id;light_level;
277501;3087.874052;330;240;68.6651;2.82843;0.0148488;30;330.992;240.764;0;33;1;1;0.136876;-0.335188;-0.494193;0.142523;-0.337824;-0.493069;1;-0.35179;0.111361;-0.12535;1;-0.255073;-0.575218;0.707523;0.00195815;fp_not_a_fp;-1;0.205634;
277502;3087.885179;332;238;68.674;2.82843;0.013643;26;332.916;238.757;0;34;1;1;0.13411;-0.33283;-0.495685;0.139049;-0.336016;-0.49415;1;-0.336643;0.13022;-0.119235;1;0.334296;0.374222;0.846375;0.0019579;fp_not_a_fp;-1;0.205594;
277503;3087.896306;336;238;68.5571;2.82843;0.0205898;29;334.734;236.626;0;35;1;1;0.128792;-0.333365;-0.496554;0.134921;-0.334892;-0.495016;1;-0.348408;0.115279;-0.111453;1;-0.13888;0.014681;1.01698;0.00196125;fp_not_a_fp;-1;0.205616;
277504;3087.907433;338;236;68.5527;2.82843;0.0168355;27;338.846;236.781;0;36;1;1;0.126046;-0.331068;-0.498145;0.131456;-0.333113;-0.496144;1;-0.340299;0.12073;-0.112258;1;0.366184;0.538663;0.687316;0.00196137;fp_not_a_fp;-1;0.205604;
277505;3087.918561;340;236;68.1471;2;0.0630266;29;340.754;234.714;0;37;1;1;0.124006;-0.333021;-0.501121;0.128239;-0.332571;-0.497876;1;-0.316924;0.0851904;-0.132388;1;0.783296;-0.587921;-0.158082;0.00139515;fp_not_a_fp;-1;0.205595;
277506;3087.929689;344;234;68.4668;2.82843;0.0185405;33;342.601;234.889;0;38;1;1;0.117893;-0.329128;-0.500353;0.124184;-0.331645;-0.499043;1;-0.336917;0.104265;-0.11502;1;-0.00619212;-0.583077;0.0947489;0.00196383;fp_not_a_fp;-1;0.205584;
277507;3087.940816;346;234;68.3034;2;0.0585241;35;346.763;232.842;0;39;1;1;0.115391;-0.329899;-0.501562;0.120834;-0.330779;-0.500295;1;-0.330884;0.0900168;-0.10702;1;0.393672;-0.567499;0.0996328;0.00139195;fp_not_a_fp;-1;0.20562;
277508;3087.951944;348;232;68.3079;2.82843;0.014429;39;348.69;232.974;0;40;1;1;0.11262;-0.32755;-0.503093;0.117478;-0.329899;-0.501532;1;-0.317948;0.0995653;-0.10762;1;0.502104;-0.475472;0.104264;0.00196839;fp_not_a_fp;-1;0.205584;
277509;3087.963071;350;232;68.0152;2;0.0534254;31;350.574;230.905;0;41;1;1;0.110309;-0.328943;-0.50527;0.114053;-0.32888;-0.50257;1;-0.298538;0.0748452;-0.11909;1;0.413081;-0.232442;0.298763;0.00139786;fp_not_a_fp;-1;0.205617;
277510;3087.974199;352;230;68.1725;2.82843;0.0173572;28;352.441;231.019;0;42;1;1;0.107286;-0.325852;-0.505672;0.111402;-0.328061;-0.503899;1;-0.287094;0.0905079;-0.113247;1;1.11936;-0.309107;0.0398384;0.00197231;fp_not_a_fp;-1;0.205607;
