RS_ID;time;imLx_insect;imLy_insect;disparity_insect;size_insect;score_insect;imLx_pred_insect;imLy_pred_insect;n_frames_lost_insect;n_frames_tracking_insect;foundL_insect;posX_insect;posY_insect;posZ_insect;sposX_insect;sposY_insect;sposZ_insect;svelX_insect;svelY_insect;svelZ_insect;saccX_insect;saccY_insect;saccZ_insect;radius_insect;
8815;98.086449;450.8;55.6;9.81987;2.52313;0.0394872;450;55;0;74;1;-0.105505;-0.505127;-2.27459;-0.10547;-0.486698;-2.24473;0.0344006;-1.01686;-1.59268;-0.256159;-3.19931;-3.63283;0.0128528;
8816;98.097575;450.667;58.6667;9.72528;1.95441;0.101022;450;57;0;75;1;-0.105846;-0.522789;-2.28742;-0.105954;-0.501023;-2.26705;0.0234886;-1.09872;-1.54388;-1.15334;-5.06263;-7.46861;0.0100526;
8817;98.108702;450;60;9.61732;1.12838;0.0918858;450;60;0;76;1;-0.103566;-0.534264;-2.30902;-0.105087;-0.5139;-2.28175;0.0421106;-1.12393;-1.57433;0.0150262;-3.69471;-0.250409;0.00586898;
8818;98.119828;449.5;62;9.67933;2.25676;0.0452109;449;61;0;77;1;-0.100319;-0.539196;-2.28814;-0.103809;-0.525344;-2.28979;0.0816654;-1.04754;-1.14675;0.919407;-1.18253;9.6285;0.0116628;
8819;98.130955;450;63.4286;9.57187;2.98541;0.0806217;449;63;0;78;1;-0.104058;-0.551284;-2.30943;-0.103447;-0.536883;-2.2985;0.0447287;-1.02093;-1.06788;0.232052;-0.0912746;11.7923;0.0156017;
8820;98.142082;449;66;9.3343;2.76395;0.0636614;449;65;0;79;1;-0.101348;-0.576454;-2.3601;-0.102323;-0.550299;-2.31667;0.0548292;-1.16823;-1.47987;0.704171;-1.56161;1.43943;0.014812;
8821;98.153208;448;67.4286;9.31091;2.98541;0.0479007;448;67;0;80;1;-0.0962298;-0.584106;-2.36151;-0.100489;-0.56276;-2.32979;0.110681;-1.16782;-1.47754;1.54074;-0.985823;2.17591;0.016039;
8822;98.164334;448.333;68.3333;9.2112;2.76395;0.0749121;447;69;0;81;1;-0.0990817;-0.5944;-2.38418;-0.100179;-0.576561;-2.3538;0.0869515;-1.13671;-1.54798;0.118758;-2.00331;-9.01468;0.0150099;
8823;98.175461;448.667;70.5;9.2201;3.90882;0.147858;447;69;0;82;1;-0.100794;-0.603328;-2.37495;-0.0993634;-0.589572;-2.37018;0.0464209;-1.0812;-1.27395;0.0380865;-1.35419;-4.62993;0.0212067;
8824;98.186588;447.429;72;9.06427;2.98541;0.0408974;448;72;0;83;1;-0.0956946;-0.620391;-2.41091;-0.0979502;-0.600556;-2.38289;0.0822139;-1.11597;-1.4104;0.615402;1.17423;1.56036;0.0164754;
8825;98.197714;447.6;74;8.89274;3.56825;0.0866408;447;73;0;84;1;-0.0985049;-0.641451;-2.45079;-0.0985189;-0.614892;-2.40521;0.0543029;-1.22943;-1.74408;-1.2667;-1.38442;-5.98966;0.0200717;
8826;98.208841;447.4;74.6;8.73462;3.56825;0.0568397;447;75;0;85;1;-0.0991426;-0.655841;-2.49313;-0.0985342;-0.630253;-2.43245;0.0285318;-1.28445;-2.14489;-1.31252;-3.31972;-13.4119;0.0204351;
8827;98.219967;447.25;76.5;8.64913;3.19154;0.0369952;447;76;0;86;1;-0.099255;-0.671205;-2.5113;-0.0981493;-0.647222;-2.46654;0.0129533;-1.3195;-2.24527;-0.751954;-5.35428;-21.8245;0.0184583;
8828;98.231093;447;77;8.57272;2.25676;0.0392666;447;77;0;87;1;-0.098681;-0.679547;-2.53197;-0.0988959;-0.662011;-2.4968;0.0114435;-1.2613;-2.23731;-1.59013;-3.26547;-18.5795;0.0131683;
8829;98.242220;447.429;78;8.51025;2.98541;0.0676425;446;78;0;88;1;-0.101924;-0.689286;-2.5471;-0.0997508;-0.67397;-2.52088;-0.0278185;-1.18801;-2.12202;-1.8451;0.930575;-8.49149;0.017548;
8830;98.253347;448;80;8.51083;1.12838;0.178892;447;79;0;89;1;-0.105276;-0.698741;-2.54;-0.101284;-0.684695;-2.5326;-0.0789203;-1.11459;-1.72239;-2.41432;3.81655;9.49302;0.00663201;
8831;98.264473;448;79;8.50216;2.76395;0.0957055;448;81;0;90;1;-0.105383;-0.694698;-2.54606;-0.102816;-0.690568;-2.54128;-0.0912032;-0.895722;-1.40695;-2.34026;9.52188;18.8365;0.0162617;
8832;98.275600;450;80;8.69073;1.12838;0.209015;448;79;0;91;1;-0.114609;-0.684277;-2.48743;-0.106798;-0.69175;-2.53015;-0.190393;-0.57157;-0.425027;-4.53489;15.4972;40.7189;0.00649472;
8833;98.286726;450;79.4286;8.43293;2.98541;0.0355386;450;80;0;92;1;-0.118112;-0.702455;-2.56546;-0.110845;-0.695043;-2.53474;-0.247266;-0.573108;-0.859646;-4.9307;13.816;28.3626;0.0177088;
8834;98.297852;452.25;79.75;7.90651;3.19154;0.122763;450;80;0;93;1;-0.140211;-0.750869;-2.73508;-0.119579;-0.708075;-2.58351;-0.492576;-1.05566;-2.87407;-9.29445;1.32338;-25.8798;0.0201921;
8835;98.308979;453;79;7.79672;2.25676;0.0875756;452;80;0;94;1;-0.146998;-0.757553;-2.77642;-0.129982;-0.723789;-2.6411;-0.608916;-1.19705;-3.81392;-11.6323;-6.77099;-54.0836;0.014479;
8836;98.320106;455.75;78.25;7.69958;3.19154;0.16176;453;79;0;95;1;-0.166718;-0.763172;-2.81432;-0.14301;-0.743513;-2.72282;-0.805407;-1.16721;-4.15033;-13.8188;-13.3835;-83.7038;0.0207347;
8837;98.331232;457;77;7.79602;2.25676;0.0838914;456;78;0;96;1;-0.172676;-0.747248;-2.78423;-0.156651;-0.754711;-2.77751;-0.852184;-0.823447;-3.41498;-13.5919;-5.62453;-57.4146;0.0144803;
8838;98.342359;459.429;76;7.65587;2.98541;0.0933957;458;76;0;97;1;-0.191705;-0.755646;-2.83904;-0.169524;-0.755905;-2.8035;-0.980945;-0.672607;-3.30382;-10.9729;8.6072;-9.65429;0.0195063;
8839;98.353485;461;75;7.87883;2.25676;0.0621517;460;75;0;98;1;-0.196257;-0.72913;-2.76244;-0.181839;-0.748799;-2.80001;-0.961223;-0.220507;-1.95833;-7.91592;21.9422;41.6943;0.0143281;
8840;98.364611;463.333;72.2222;7.73011;3.38514;0.146008;462;74;0;99;1;-0.215133;-0.728629;-2.82617;-0.193943;-0.740163;-2.80297;-1.04685;0.000206093;-1.8831;-5.42494;26.2311;50.9435;0.0219056;
8841;98.375739;465;71;7.72806;2.25676;0.0195739;465;71;0;100;1;-0.225977;-0.722427;-2.83158;-0.207268;-0.733958;-2.81481;-1.07303;0.162488;-1.67378;-4.96195;22.1528;39.1231;0.0146076;
8842;98.386865;466;69.4286;7.74379;2.98541;0.0391854;466;69;0;101;1;-0.231978;-0.712754;-2.8318;-0.217336;-0.723235;-2.813;-1.01577;0.319719;-1.37635;-0.782471;22.2968;43.309;0.0192848;
8843;98.397991;467;67;7.59804;2.25676;0.0757552;467;68;0;102;1;-0.243012;-0.713503;-2.89554;-0.229025;-0.719328;-2.84627;-0.989039;0.335327;-1.80857;-0.624925;12.489;3.36475;0.0148576;
8844;98.409118;470;64.5714;7.56276;2.98541;0.114715;468;65;0;103;1;-0.263988;-0.703847;-2.9185;-0.241239;-0.713133;-2.86935;-1.09229;0.409698;-2.01971;-1.02064;9.20068;-3.06951;0.0197464;
8845;98.420244;471;63;7.55162;2.25676;0.0715105;471;62;0;104;1;-0.271002;-0.696471;-2.92893;-0.252495;-0.706644;-2.89369;-1.07604;0.472729;-1.96898;-0.067457;6.97092;-6.63235;0.0149489;
8846;98.431370;472;60.5714;7.56063;2.98541;0.0348278;472;61;0;105;1;-0.277295;-0.682653;-2.9349;-0.263824;-0.699119;-2.91947;-1.00422;0.596888;-1.76531;0.259736;6.22772;-8.73913;0.019752;
8847;98.442497;472.667;57.3333;7.52043;1.95441;0.075544;473;58;0;106;1;-0.283212;-0.668893;-2.96327;-0.273874;-0.687966;-2.9364;-0.914275;0.729801;-1.78118;1.67994;8.86325;0.615927;0.0129998;
8848;98.453624;473;56;7.52923;2.76395;0.0768801;474;55;0;107;1;-0.285095;-0.660951;-2.96503;-0.279151;-0.677242;-2.94804;-0.782082;0.782688;-1.58064;6.97002;8.38064;9.86576;0.018363;
8849;98.464750;473.667;52.3333;7.51179;2.76395;0.0444932;474;53;0;108;1;-0.290197;-0.642749;-2.98629;-0.28395;-0.663812;-2.96237;-0.686178;0.913385;-1.53988;8.7599;9.90109;9.64179;0.0184056;
8850;98.475877;474;50.5714;7.50581;2.98541;0.04301;474;50;0;109;1;-0.292649;-0.633769;-2.99558;-0.287788;-0.651591;-2.97754;-0.587135;0.953828;-1.43312;9.37139;8.01997;7.46393;0.0198963;
8851;98.487003;473.429;48;7.44911;2.98541;0.0448967;474;48;0;110;1;-0.291039;-0.624635;-3.02854;-0.289745;-0.640526;-2.99386;-0.452859;0.953592;-1.58412;10.3676;5.02844;4.4275;0.0200477;
